entity,word,n,tf,idf,tf_idf
http://purl.obolibrary.org/obo/DOID_17,musc,9,0.15,6.778784898,1.016817735
http://purl.obolibrary.org/obo/DOID_17,cmnt,9,0.15,5.931487037,0.889723056
http://purl.obolibrary.org/obo/DOID_17,msk,2,0.033333333,8.570544367,0.285684812
http://purl.obolibrary.org/obo/DOID_17,database,2,0.033333333,3.879196485,0.129306549
http://purl.obolibrary.org/obo/DOID_17,bc,2,0.033333333,3.861014166,0.128700472
http://purl.obolibrary.org/obo/DOID_17,final,2,0.033333333,3.861014166,0.128700472
http://purl.obolibrary.org/obo/DOID_17,3,2,0.033333333,3.297544808,0.10991816
http://purl.obolibrary.org/obo/DOID_17,226plate031,1,0.016666667,6.085637717,0.101427295
http://purl.obolibrary.org/obo/DOID_17,226plate011,1,0.016666667,6.005595009,0.10009325
http://purl.obolibrary.org/obo/DOID_17,226plate101,1,0.016666667,6.005595009,0.10009325
http://purl.obolibrary.org/obo/DOID_17,mhterm,1,0.016666667,6.005595009,0.10009325
http://purl.obolibrary.org/obo/DOID_17,8,1,0.016666667,5.931487037,0.098858117
http://purl.obolibrary.org/obo/DOID_17,226plate051,1,0.016666667,5.862494166,0.097708236
http://purl.obolibrary.org/obo/DOID_17,226plate111,1,0.016666667,5.737331023,0.095622184
http://purl.obolibrary.org/obo/DOID_17,126plate022,1,0.016666667,5.526021929,0.092100365
http://purl.obolibrary.org/obo/DOID_17,126plate052,1,0.016666667,5.479501914,0.091325032
http://purl.obolibrary.org/obo/DOID_17,126plate401,1,0.016666667,5.479501914,0.091325032
http://purl.obolibrary.org/obo/DOID_17,126plate036,1,0.016666667,5.435050151,0.090584169
http://purl.obolibrary.org/obo/DOID_17,126plate032,1,0.016666667,5.392490537,0.089874842
http://purl.obolibrary.org/obo/DOID_17,226plate003,1,0.016666667,5.392490537,0.089874842
http://purl.obolibrary.org/obo/DOID_17,126plate302,1,0.016666667,5.274707501,0.087911792
http://purl.obolibrary.org/obo/DOID_17,126plate412,1,0.016666667,5.238339857,0.087305664
http://purl.obolibrary.org/obo/DOID_17,126plate312,1,0.016666667,5.169346985,0.086155783
http://purl.obolibrary.org/obo/DOID_17,226plate200,1,0.016666667,5.169346985,0.086155783
http://purl.obolibrary.org/obo/DOID_17,226plate210,1,0.016666667,5.169346985,0.086155783
http://purl.obolibrary.org/obo/DOID_17,226plate220,1,0.016666667,5.169346985,0.086155783
http://purl.obolibrary.org/obo/DOID_17,227plate004,1,0.016666667,5.169346985,0.086155783
http://purl.obolibrary.org/obo/DOID_17,visits,1,0.016666667,4.658521361,0.077642023
http://purl.obolibrary.org/obo/DOID_17,enrollment,1,0.016666667,4.443409982,0.074056833
http://purl.obolibrary.org/obo/DOID_17,all,1,0.016666667,4.266479274,0.071107988
http://purl.obolibrary.org/obo/DOID_17,mothers,1,0.016666667,4.093207552,0.068220126
http://purl.obolibrary.org/obo/DOID_2355,anemia,1,0.166666667,7.471932078,1.245322013
http://purl.obolibrary.org/obo/DOID_2355,observation,1,0.166666667,3.95542385,0.659237308
http://purl.obolibrary.org/obo/DOID_2355,05jul18z,1,0.166666667,3.213958092,0.535659682
http://purl.obolibrary.org/obo/DOID_2355,brazil,1,0.166666667,3.06115603,0.510192672
http://purl.obolibrary.org/obo/DOID_2355,icemr1,1,0.166666667,3.06115603,0.510192672
http://purl.obolibrary.org/obo/DOID_2355,st,1,0.166666667,2.266095564,0.377682594
http://purl.obolibrary.org/obo/DOID_28,endmetab,4,0.129032258,7.184250006,0.927000001
http://purl.obolibrary.org/obo/DOID_28,cmnt,4,0.129032258,5.931487037,0.765353166
http://purl.obolibrary.org/obo/DOID_28,endo,2,0.064516129,8.570544367,0.552938346
http://purl.obolibrary.org/obo/DOID_28,endmetabcmnt,1,0.032258065,8.570544367,0.276469173
http://purl.obolibrary.org/obo/DOID_28,database,2,0.064516129,3.879196485,0.250270741
http://purl.obolibrary.org/obo/DOID_28,bc,2,0.064516129,3.861014166,0.249097688
http://purl.obolibrary.org/obo/DOID_28,final,2,0.064516129,3.861014166,0.249097688
http://purl.obolibrary.org/obo/DOID_28,3,2,0.064516129,3.297544808,0.212744826
http://purl.obolibrary.org/obo/DOID_28,10,1,0.032258065,6.172649094,0.199117713
http://purl.obolibrary.org/obo/DOID_28,mhterm,1,0.032258065,6.005595009,0.193728871
http://purl.obolibrary.org/obo/DOID_28,226plate111,1,0.032258065,5.737331023,0.185075194
http://purl.obolibrary.org/obo/DOID_28,126plate302,1,0.032258065,5.274707501,0.170151855
http://purl.obolibrary.org/obo/DOID_28,226plate200,1,0.032258065,5.169346985,0.166753129
http://purl.obolibrary.org/obo/DOID_28,226plate210,1,0.032258065,5.169346985,0.166753129
http://purl.obolibrary.org/obo/DOID_28,226plate220,1,0.032258065,5.169346985,0.166753129
http://purl.obolibrary.org/obo/DOID_28,227plate004,1,0.032258065,5.169346985,0.166753129
http://purl.obolibrary.org/obo/DOID_28,visits,1,0.032258065,4.658521361,0.150274883
http://purl.obolibrary.org/obo/DOID_28,enrollment,1,0.032258065,4.443409982,0.143335806
http://purl.obolibrary.org/obo/DOID_28,all,1,0.032258065,4.266479274,0.137628364
http://purl.obolibrary.org/obo/DOID_28,mothers,1,0.032258065,4.093207552,0.132038953
http://purl.obolibrary.org/obo/DOID_37,skinderm,12,0.173913043,6.778784898,1.178919113
http://purl.obolibrary.org/obo/DOID_37,cmnt,12,0.173913043,5.931487037,1.031562963
http://purl.obolibrary.org/obo/DOID_37,skindermcmnt,8,0.115942029,8.570544367,0.993686303
http://purl.obolibrary.org/obo/DOID_37,skin,2,0.028985507,6.961106454,0.201771202
http://purl.obolibrary.org/obo/DOID_37,database,2,0.028985507,3.879196485,0.112440478
http://purl.obolibrary.org/obo/DOID_37,bc,2,0.028985507,3.861014166,0.111913454
http://purl.obolibrary.org/obo/DOID_37,final,2,0.028985507,3.861014166,0.111913454
http://purl.obolibrary.org/obo/DOID_37,3,2,0.028985507,3.297544808,0.095581009
http://purl.obolibrary.org/obo/DOID_37,226plate041,1,0.014492754,6.172649094,0.089458683
http://purl.obolibrary.org/obo/DOID_37,226plate031,1,0.014492754,6.085637717,0.088197648
http://purl.obolibrary.org/obo/DOID_37,226plate081,1,0.014492754,6.085637717,0.088197648
http://purl.obolibrary.org/obo/DOID_37,226plate151,1,0.014492754,6.085637717,0.088197648
http://purl.obolibrary.org/obo/DOID_37,226plate011,1,0.014492754,6.005595009,0.087037609
http://purl.obolibrary.org/obo/DOID_37,226plate101,1,0.014492754,6.005595009,0.087037609
http://purl.obolibrary.org/obo/DOID_37,mhterm,1,0.014492754,6.005595009,0.087037609
http://purl.obolibrary.org/obo/DOID_37,226plate051,1,0.014492754,5.862494166,0.084963684
http://purl.obolibrary.org/obo/DOID_37,226plate111,1,0.014492754,5.737331023,0.083149725
http://purl.obolibrary.org/obo/DOID_37,126plate032,1,0.014492754,5.392490537,0.078152037
http://purl.obolibrary.org/obo/DOID_37,126plate090,1,0.014492754,5.392490537,0.078152037
http://purl.obolibrary.org/obo/DOID_37,226plate003,1,0.014492754,5.392490537,0.078152037
http://purl.obolibrary.org/obo/DOID_37,7,1,0.014492754,5.351668542,0.077560414
http://purl.obolibrary.org/obo/DOID_37,126plate035,1,0.014492754,5.238339857,0.075917969
http://purl.obolibrary.org/obo/DOID_37,126plate311,1,0.014492754,5.169346985,0.074918072
http://purl.obolibrary.org/obo/DOID_37,126plate411,1,0.014492754,5.169346985,0.074918072
http://purl.obolibrary.org/obo/DOID_37,226plate200,1,0.014492754,5.169346985,0.074918072
http://purl.obolibrary.org/obo/DOID_37,226plate210,1,0.014492754,5.169346985,0.074918072
http://purl.obolibrary.org/obo/DOID_37,226plate220,1,0.014492754,5.169346985,0.074918072
http://purl.obolibrary.org/obo/DOID_37,227plate004,1,0.014492754,5.169346985,0.074918072
http://purl.obolibrary.org/obo/DOID_37,126plate021,1,0.014492754,5.136557162,0.074442857
http://purl.obolibrary.org/obo/DOID_37,126plate400,1,0.014492754,5.136557162,0.074442857
http://purl.obolibrary.org/obo/DOID_37,126plate301,1,0.014492754,5.104808464,0.073982731
http://purl.obolibrary.org/obo/DOID_37,visits,1,0.014492754,4.658521361,0.067514802
http://purl.obolibrary.org/obo/DOID_37,enrollment,1,0.014492754,4.443409982,0.064397246
http://purl.obolibrary.org/obo/DOID_37,all,1,0.014492754,4.266479274,0.061833033
